Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Genre,Release Date,Popularity,Duration (ms),Chord
1,1,8,2021-07-23--2021-07-30,Beggin',"48,633,449",Måneskin,3377762,"['indie rock italiano', 'italian pop']",2017-12-08,100,211560,B
2,2,3,2021-07-23--2021-07-30,STAY (with Justin Bieber),"47,248,719",The Kid LAROI,2230022,['australian hip hop'],2021-07-09,99,141806,C#/Db
3,1,11,2021-06-25--2021-07-02,good 4 u,"40,162,559",Olivia Rodrigo,6266514,['pop'],2021-05-21,99,178147,A
4,3,5,2021-07-02--2021-07-09,Bad Habits,"37,799,456",Ed Sheeran,83293380,"['pop', 'uk pop']",2021-06-25,98,231041,B
5,5,1,2021-07-23--2021-07-30,INDUSTRY BABY (feat. Jack Harlow),"33,948,454",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",2021-07-23,96,212000,D#/Eb
6,1,18,2021-05-07--2021-05-14,MONTERO (Call Me By Your Name),"30,071,134",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",2021-03-31,97,137876,G#/Ab
7,3,16,2021-05-14--2021-05-21,Kiss Me More (feat. SZA),"29,356,736",Doja Cat,8640063,"['dance pop', 'pop']",2021-04-09,94,208867,G#/Ab
8,2,10,2021-06-18--2021-06-25,Todo De Ti,"26,951,613",Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']",2021-05-20,95,199604,D#/Eb
9,3,8,2021-06-18--2021-06-25,Yonaguni,"25,030,128",Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']",2021-06-04,96,206710,C#/Db
10,8,10,2021-07-02--2021-07-09,I WANNA BE YOUR SLAVE,"24,551,591",Måneskin,3377762,"['indie rock italiano', 'italian pop']",2021-03-19,95,173347,C#/Db
11,4,43,2021-05-07--2021-05-14,Levitating (feat. DaBaby),"23,518,010",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",2020-10-01,89,203064,F#/Gb
12,9,9,2021-07-02--2021-07-09,Qué Más Pues?,"22,405,111","J Balvin, Maria Becerra",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",2021-05-28,95,217773,G#/Ab
13,5,3,2021-07-09--2021-07-16,Permission to Dance,"22,062,812",BTS,37106176,"['k-pop', 'k-pop boy group']",2021-07-09,95,187585,A
14,1,19,2021-04-02--2021-04-09,Peaches (feat. Daniel Caesar & Giveon),"20,294,457",Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']",2021-03-19,94,198082,C
